ID,name,product_type,skin_type,price,rating
41,EXTRA Soothing Balm,Balm,dry,19.2,3.0
42,Extreme Party Mascara,Volumizing,oily,144.1,2.4
43,Eye Blender,Eye,dry,139.3,1.6
44,Eye Brow,Eye,sensitive,10.1,3.5
45,Eye Definer,Eye,sensitive,47.4,2.0
46,Eye Liner,Eye,sensitive,115.5,1.5
47,Eye Makeup Remover,Makeup Remover,oily,33.5,2.3
48,Eye Shadow,Powder,oily,66.0,2.8
49,Eye Smudge,Eye,oily,47.2,0.2
50,Eyelash Curler,Eyelash Curler,sensitive,13.0,3.1
51,Face,Face,sensitive,74.1,3.1
52,Face Blender,Face,sensitive,91.8,0.8
53,Foundation,Face,dry,142.2,1.8
54,Gentle Curl Eye Lash Curler,Eyelash Curler,dry,23.7,1.6
55,High Shimmer Lip Gloss,Lipgloss,sensitive,92.0,3.5
56,Hydrating Eye Cream,Eye Cream,oily,21.6,2.9
57,Hydrating Face Cream,Cream,sensitive,87.9,4.5
58,Hydrating Face Tonic,Toner,dry,20.0,2.7
59,Hydrating Gel Cream,Cream,oily,125.6,3.5
60,Hydrating Intense Night Cream,Cream,sensitive,65.6,2.1
61,Hydrating Rich Cream Cleanser,Cream,sensitive,136.1,2.5
62,Illuminating Bronzing Powder,Powder,oily,140.4,2.7
63,Ink Eyeliner,Felt-Tip,dry,106.9,1.5
64,Instant Long-Wear Makeup Remover,Makeup Remover,sensitive,141.7,1.9
65,Intensifying Long-Wear Mascara,Volumizing,oily,40.8,3.3
66,Intensive Skin Supplement,Hydrating,oily,10.1,3.3
67,Lash Glamour Extreme Lengthening Mascara,Lengthening,sensitive,112.4,3.7
68,Lathering Tube Soap,Foaming,dry,63.6,3.9
69,Lip Balm,Lip Balm,oily,87.3,2.7
70,Lip Color,Lipstick,dry,97.5,2.0
71,Lip Gloss,Lipgloss,sensitive,13.2,3.1
72,Lip Liner,Pencil,oily,20.6,3.3
73,Long-Wear Cream Eyeshadow,Cream,sensitive,33.4,2.3
74,Long-Wear Cream Shadow Stick,Pencil,oily,29.7,2.0
75,Long-Wear Eye Pencil,Pencil,dry,12.6,1.8
76,Long-Wear Gel Eyeliner,Gel,oily,14.9,1.5
77,Metallic Eye Shadow,Powder,sensitive,110.3,2.6
78,Metallic Long-Wear Cream Shadow,Cream,dry,75.6,2.1
79,Nail Lacquer,Nail Color,dry,35.6,1.6
80,Natural Brow Shaper & hair Touch up,Gel,dry,127.1,1.6
81,No Smudge Mascara,Lengthening,dry,76.5,3.6
82,Pot Rouge for Lips & Cheeks,Pot,dry,121.7,2.8
83,Powder,Face,dry,79.0,0.9
84,Protective Face Lotion,Lotion,dry,138.3,2.5
85,Retouching Powder,Loose Finishing,sensitive,49.9,3.0
86,Retractable Lip,Lip,dry,58.2,1.9
87,Rich Color Gloss,Lipgloss,sensitive,13.4,1.9
88,Rich Lip Color,Lipstick,dry,107.9,2.5
89,Sheer Color Cheek Tint,Cream,dry,145.2,1.9
90,Sheer Color Lip Gloss,Lipgloss,sensitive,34.8,2.9
91,Sheer Finish Loose Powder,Loose Finishing,sensitive,87.3,2.0
92,Sheer Finish Pressed Powder,Pressed Finishing,oily,28.3,3.0
93,Sheer Powder,Face,dry,90.1,1.1
94,Shimmer Blush,Powder,sensitive,112.6,3.2
95,Shimmer Brick,Powder,dry,67.0,2.2
96,Shimmer Lip Gloss,Lipgloss,dry,78.5,2.5
97,Shimmer Nail Lacquer,Nail Color,oily,18.6,3.7
98,Shimmer Wash Eye Shadow,Powder,sensitive,20.3,2.1
99,Soothing Cleansing Oil,Liquid,dry,121.6,3.6
100,Sparkle Eye Shadow,Glitter,oily,111.0,2.4
101,Touch Up,Face,sensitive,145.7,3.0
102,Treatment Lip Shine,Lipstick,dry,18.2,2.0
103,Tweezer,Tweezers,oily,54.5,2.8
104,Ultra Fine Eyeliner,Eye,dry,145.7,2.6
105,Vitamin Enriched Face Base,Cream,sensitive,121.6,2.2
106,Lip Palette,Lip Palette,dry,122.2,1.8
107,Bronzer/Blush Duo,Cheek Palette,dry,122.0,2.6
108,Eyeshadow Palette,Eye Palette,oily,18.4,2.9
109,Eye Paint Palette,Eye Palette,dry,53.6,1.8
110,Eye Paint Eye Shadow,Baked,dry,76.2,4.9
111,AMC Cream Blush,Cream,sensitive,39.4,2.1
112,AMC Face Blush,Liquid,dry,144.0,2.1
113,AMC Multicolour System Powder FB Matte,Powder,dry,53.4,2.8
114,Face Blush,Powder,sensitive,138.0,4.3
115,Body Sparkles,Glitter,sensitive,23.8,2.2
116,Body Pigment Powder Matte,Powder,oily,63.7,2.4
117,Body Pigment Powder Pearl,Powder,dry,43.3,2.9
118,AMC Face and Body Bronzer,Liquid,oily,76.8,2.6
119,AMC Bronzing Powder,Powder,sensitive,23.2,2.4
120,AMC Multicolour System Bronzing Powder,Powder,dry,149.6,2.6
121,Full Metal Eyebrow Pencil,Pencil,dry,118.4,3.0
122,10S Brush,Eye,dry,143.4,2.5
123,11S Brush,Eye,oily,103.7,2.2
124,11S/S Brush,Eye,dry,83.9,0.5
125,13P Brush,Eye,oily,76.5,2.1
126,13P/S Brush,Eye,dry,111.9,1.8
127,14M Brush,Eye,oily,88.0,2.8
128,16PP Brush,Eye,oily,31.7,3.0
129,17TL Brush,Eye,oily,97.8,1.0
130,19P Brush,Eye,sensitive,42.5,3.8
131,23T Brush,Eye,oily,25.5,2.3
132,28PO Brush,Eye,dry,59.9,0
133,29PO Brush,Eye,dry,126.5,3.0
134,30T Brush,Eye,oily,66.4,1.9
135,31T Brush,Eye,sensitive,75.0,3.3
136,4SS Brush,Eye,sensitive,51.4,2.7
137,5FS Brush,Eye,sensitive,110.7,2.9
138,6SS Brush,Eye,oily,48.3,2.6
139,7FS Brush,Eye,dry,76.6,2.1
140,7FS/S Brush,Eye,oily,148.8,2.7
141,8OHP Brush,Eye,sensitive,137.3,2.8
142,8OHP/S Brush,Eye,sensitive,81.0,2.3
143,9S Brush,Eye,dry,72.3,3.2
144,9S/S Brush,Eye,oily,68.5,3.1
145,15BJF Brush,Face,oily,109.9,2.7
146,15BJF/S Brush,Face,sensitive,101.0,3.1
147,16PP/S Brush,Face,oily,44.4,2.6
148,1SS/S Brush,Face,sensitive,39.3,2.7
149,21T Brush,Face,dry,61.8,2.2
150,22T Brush,Face,sensitive,66.2,2.5
151,24SS Brush,Face,sensitive,129.2,0
152,24SS/S Brush,Face,oily,106.9,3.3
153,25SS Brush,Face,dry,53.7,4.1
154,27TG Brush,Face,dry,130.6,2.6
155,3P Brush,Face,dry,68.8,1.2
156,12S Brush,Lip,dry,101.7,2.0
157,Sable Brush,Lip,sensitive,66.2,2.6
158,AMC Eyeliner Gel,Gel,sensitive,103.9,2.3
159,Liquid Eyeliner,Liquid,oily,34.1,2.9
160,AMC Eye Pencil,Pencil,dry,55.1,3.5
161,AMC Eyeliner,Pencil,sensitive,119.0,2.3
162,Eyebrow Pencil,Pencil,dry,119.5,2.7
163,Full Metal Eyeliner,Pencil,dry,72.5,3.4
164,Soft Precision Eyeliner,Pencil,oily,136.2,2.6
165,AMC Pure Pigment Eye Shadow,Loose,oily,21.7,2.7
166,Makeup Remover,Makeup Remover,oily,38.7,1.5
167,Makeup Remover Wipes,Wipe,sensitive,64.6,4.0
168,10N False Eyelashes by Inglot,False Eyelashes,dry,121.7,2.7
169,10S False Eyelashes by Inglot,False Eyelashes,sensitive,92.5,2.5
170,11N False Eyelashes by Inglot,False Eyelashes,dry,112.4,2.2
171,11S False Eyelashes by Inglot,False Eyelashes,dry,123.0,1.1
172,12N False Eyelashes by Inglot,False Eyelashes,oily,68.5,3.2
173,12S False Eyelashes by Inglot,False Eyelashes,dry,32.0,2.0
174,13S False Eyelashes by Inglot,False Eyelashes,dry,63.1,3.2
175,14N False Eyelashes by Inglot,False Eyelashes,oily,126.4,2.6
176,14S False Eyelashes by Inglot,False Eyelashes,dry,137.8,1.8
177,15S False Eyelashes by Inglot,False Eyelashes,oily,60.2,3.8
178,16N False Eyelashes by Inglot,False Eyelashes,oily,23.7,3.0
179,16S False Eyelashes by Inglot,False Eyelashes,sensitive,129.3,1.6
180,17N False Eyelashes by Inglot,False Eyelashes,dry,138.8,3.1
181,17S False Eyelashes by Inglot,False Eyelashes,oily,60.8,2.1
182,18S False Eyelashes by Inglot,False Eyelashes,dry,132.9,4.3
183,19N False Eyelashes by Inglot,False Eyelashes,dry,79.7,3.1
184,19S False Eyelashes by Inglot,False Eyelashes,oily,29.7,2.6
185,20N False Eyelashes by Inglot,False Eyelashes,sensitive,127.3,2.7
186,21S False Eyelashes by Inglot,False Eyelashes,dry,132.1,3.2
187,22N False Eyelashes by Inglot,False Eyelashes,dry,105.4,2.6
188,22S False Eyelashes by Inglot,False Eyelashes,dry,139.9,2.6
189,23S False Eyelashes by Inglot,False Eyelashes,oily,135.7,2.9
190,24S False Eyelashes by Inglot,False Eyelashes,oily,72.1,3.2
191,25N False Eyelashes by Inglot,False Eyelashes,oily,63.9,2.8
192,25S False Eyelashes by Inglot,False Eyelashes,dry,104.8,2.3
193,26F False Eyelashes by Inglot,False Eyelashes,oily,132.6,2.6
194,27F False Eyelashes by Inglot,False Eyelashes,oily,55.4,2.3
195,28S False Eyelashes by Inglot,False Eyelashes,oily,40.6,1.9
196,29F False Eyelashes by Inglot,False Eyelashes,sensitive,101.4,1.3
197,30N False Eyelashes by Inglot,False Eyelashes,dry,127.9,2.0
198,31N False Eyelashes by Inglot,False Eyelashes,dry,136.3,1.0
199,32S False Eyelashes by Inglot,False Eyelashes,sensitive,12.5,2.2
200,33S False Eyelashes by Inglot,False Eyelashes,oily,46.1,1.8
201,34S False Eyelashes by Inglot,False Eyelashes,oily,52.2,2.8
202,35S False Eyelashes by Inglot,False Eyelashes,dry,45.1,2.0
203,36F False Eyelashes by Inglot,False Eyelashes,oily,40.9,2.1
204,37F False Eyelashes by Inglot,False Eyelashes,dry,94.0,1.3
205,38S False Eyelashes by Inglot,False Eyelashes,oily,122.0,1.4
206,39S False Eyelashes by Inglot,False Eyelashes,oily,86.0,2.8
207,40S False Eyelashes by Inglot,False Eyelashes,oily,19.3,1.7
208,41F False Eyelashes by Inglot,False Eyelashes,dry,73.6,1.8
209,42S False Eyelashes by Inglot,False Eyelashes,dry,61.3,2.3
210,43S False Eyelashes by Inglot,False Eyelashes,oily,33.9,2.1
211,44S False Eyelashes by Inglot,False Eyelashes,sensitive,144.8,3.8
212,46S False Eyelashes by Inglot,False Eyelashes,oily,93.7,2.0
213,48S False Eyelashes by Inglot,False Eyelashes,oily,108.8,2.0
214,49S False Eyelashes by Inglot,False Eyelashes,sensitive,114.9,2.8
215,50S False Eyelashes by Inglot,False Eyelashes,dry,143.6,2.7
216,51S False Eyelashes by Inglot,False Eyelashes,dry,148.9,2.2
217,52F False Eyelashes by Inglot,False Eyelashes,dry,85.1,2.5
218,53S False Eyelashes by Inglot,False Eyelashes,sensitive,93.6,2.1
219,54F False Eyelashes by Inglot,False Eyelashes,oily,46.7,0.8
220,55S False Eyelashes by Inglot,False Eyelashes,dry,16.6,2.3
221,56S False Eyelashes by Inglot,False Eyelashes,sensitive,28.0,3.5
222,57S False Eyelashes by Inglot,False Eyelashes,dry,44.5,2.1
223,58S False Eyelashes by Inglot,False Eyelashes,oily,119.9,2.4
224,59S False Eyelashes by Inglot,False Eyelashes,sensitive,35.0,3.7
225,60F False Eyelashes by Inglot,False Eyelashes,sensitive,56.8,2.7
226,61N False Eyelashes by Inglot,False Eyelashes,sensitive,34.2,2.6
227,62F False Eyelashes by Inglot,False Eyelashes,oily,67.6,3.7
228,63S False Eyelashes by Inglot,False Eyelashes,oily,101.1,2.6
229,64S False Eyelashes by Inglot,False Eyelashes,sensitive,133.8,1.9
230,65S False Eyelashes by Inglot,False Eyelashes,oily,110.2,2.8
231,66S False Eyelashes by Inglot,False Eyelashes,dry,142.1,1.7
232,67S False Eyelashes by Inglot,False Eyelashes,oily,114.4,1.5
233,68S False Eyelashes by Inglot,False Eyelashes,dry,51.1,3.7
234,69S False Eyelashes by Inglot,False Eyelashes,dry,126.0,3.4
235,70N False Eyelashes by Inglot,False Eyelashes,dry,72.9,2.5
236,71S False Eyelashes by Inglot,False Eyelashes,dry,79.4,2.2
237,72S False Eyelashes by Inglot,False Eyelashes,sensitive,101.2,1.6
238,73S False Eyelashes by Inglot,False Eyelashes,dry,99.7,2.4
239,74N False Eyelashes by Inglot,False Eyelashes,dry,66.7,2.1
240,75S False Eyelashes by Inglot,False Eyelashes,dry,98.1,3.9
241,76S False Eyelashes by Inglot,False Eyelashes,dry,23.6,2.9
242,Duo Adhesive,False Eyelash Adhesive,sensitive,27.9,1.9
243,Duo Adhesive DARK,False Eyelash Adhesive,sensitive,23.2,1.9
244,Eyelash Adhesive,False Eyelash Adhesive,oily,113.8,3.1
245,AMC Face and Body Illuminator,Liquid,oily,66.2,1.3
246,AMC Multicolour System Highlighting Powder,Powder,sensitive,116.4,2.7
247,AMC Multicolour System Highlighting Powder FEB,Powder,oily,105.6,1.7
248,AMC White Highlighting Powder,Powder,dry,130.5,2.2
249,AMC Lip Gloss,Lipgloss,oily,37.0,2.6
250,Sleeks Lip Gloss,Lipgloss,sensitive,43.9,2.8
251,Sleeks VLC Lip Gloss,Lipgloss,dry,109.3,2.4
252,Full Metal Lipliner,Liquid,sensitive,47.3,2.1
253,AMC Lip Pencil,Pencil,oily,132.2,2.9
254,Soft Precision Lipliner,Pencil,dry,89.0,3.1
255,AMC Lip Paint,Pot,oily,147.3,1.6
256,Lipstick,Lipstick,sensitive,131.7,3.5
257,Lipstick Cream,Lipstick,oily,20.3,2.9
258,Lipstick Matte,Lipstick,oily,74.9,0.6
259,Lipstick Pearl,Lipstick,dry,92.4,1.5
260,Slim Gel Lipstick,Lipstick,oily,68.7,2.7
261,Sleeks CREAM Lip Paint,Liquid,sensitive,106.3,3.4
262,Sleeks PLATINUM Lip Paint,Liquid,oily,97.3,2.7
263,Colour Play Mascara,Mascara,oily,94.6,1.7
265,Perfect Length & Define Mascara,Lengthening,sensitive,62.1,0
266,False Lash Effect Mascara,Volumizing,sensitive,136.5,1.9
267,Volume & Waterproof Mascara,Volumizing,sensitive,88.9,1.2
268,Hand & Nail Butter,Cream,dry,33.5,4.5
269,O2M Nail Enamel,Base Coat,sensitive,126.2,2.6
270,Ridge Filler,Base Coat,oily,116.0,2.7
271,Nail Art Enamel,Nail Color,oily,49.6,2.6
272,Nail Enamel,Nail Color,oily,78.6,4.3
273,Dry and Shine,Fast Dry Coat,dry,30.8,3.7
274,Nail Enamel Remover,Polish Remover,sensitive,125.1,2.2
275,Nail Polish Corrector,Polish Remover,dry,128.5,2.0
276,Diamond Top Coat,Top Coat,dry,116.5,2.6
277,Fast Drying Top Coat,Top Coat,sensitive,63.1,0.8
278,Top Coat Matte,Top Coat,dry,69.8,2.9
279,Cuticle Oil,Treatment,sensitive,132.5,3.1
280,Cuticle Removing Gel,Treatment,oily,26.3,3.5
281,Gro Max,Treatment,dry,84.1,1.8
282,Nail Whitener,Treatment,oily,62.8,2.4
283,S-Bond Treatment,Treatment,sensitive,100.7,2.4
284,Silk Wrap,Treatment,oily,28.4,4.1
285,Techno UV Coat,Treatment,sensitive,98.2,3.2
286,W-Bond Treatment,Treatment,sensitive,138.3,2.9
287,Loose Powder,Loose Setting,dry,122.9,1.8
288,Translucent Loose Powder,Loose Setting,dry,122.6,2.6
289,Under Makeup Base,Face,sensitive,12.2,2.0
290,BM Eyelash Curler,Eyelash Curler,sensitive,109.2,1.2
291,BP Eyelash Curler,Eyelash Curler,dry,32.6,4.9
292,Professional Eyelash Curler,Eyelash Curler,oily,120.5,2.3
293,Nail File Blue,Nail File,oily,49.9,0.8
294,Nail File Orange,Nail File,sensitive,95.8,3.5
295,Nail File Red,Nail File,dry,94.4,2.7
296,Ceramic Foot File,Tools,oily,82.4,2.9
297,Cuticle Nipper 1L,Tools,oily,34.2,2.8
298,Cuticle Nipper 1S,Tools,sensitive,10.0,1.7
299,Cuticle Scissors,Tools,sensitive,102.5,3.2
300,Duraline,Tools,sensitive,79.9,1.9
301,Metal Foot Rasp,Tools,sensitive,93.0,2.9
302,Mirror,Tools,sensitive,79.2,2.3
303,Nail Buffer,Tools,dry,31.7,3.3
304,Nail Scissors,Tools,oily,115.9,2.5
305,Professional Makeup Applicator,Face,sensitive,137.8,2.2
306,Puff Applicator,Face,dry,109.7,3.2
307,Sponge Applicator,Face,oily,58.3,2.8
308,Toe Separator Foot Shape,Tools,sensitive,80.3,3.8
309,Triangle Sponge Applicator,Tools,oily,140.3,2.8
310,White Sanding Block,Tools,oily,14.6,2.7
311,Double Blade Sharpener Big,Sharpener,sensitive,38.2,3.2
312,Double Blade Sharpener Small,Sharpener,sensitive,130.9,2.9
313,Professional Tweezer P2,Tweezers,oily,84.1,2.4
314,Professional Tweezer PP1,Tweezers,dry,137.5,2.0
315,Rainbow Eyeshadow,Eye Palette,sensitive,137.8,0.4
316,Sculpting Blush,Powder,sensitive,113.0,2.7
317,Mat Bronze,Powder,oily,97.1,3.0
318,Aqua Brow,Gel,sensitive,45.5,2.2
319,Brow Seal,Gel,dry,62.4,3.2
320,Eyebrow Pencil,Pencil,dry,37.8,2.5
321,Angled Eyebrow 270 Brush,Eye,oily,66.0,1.7
322,Angled Eyeliner 262 Brush,Eye,dry,42.0,1.9
323,Angled Shader 234 Brush,Eye,dry,32.5,2.7
324,Bent Eyeliner 260 Brush,Eye,sensitive,95.4,3.6
325,Blender Large 242 Brush,Eye,dry,89.4,2.7
326,Blender Medium 218 Brush,Eye,dry,29.1,2.8
327,Definer Eyeliner 256 Brush,Eye,sensitive,41.5,3.1
328,Double-Ended Angled Eyebrow and Eyelash 274 Brush,Eye,dry,45.6,2.5
329,Double-Ended Shader & Smudger 204 Brush,Eye,dry,28.7,3.0
330,Double-Head Eyelash Comb 276 Brush,Eye,oily,78.9,1.5
331,Extra Fine Eyeliner 250 Brush,Eye,sensitive,26.5,2.6
332,Eye Brow 9N Brush,Eye,dry,116.8,2.7
333,Eye Fan 200 Brush,Eye,oily,149.4,1.0
334,Eye Shadow #17S Brush,Eye,sensitive,135.3,1.0
335,Eye Shadow #5N Brush,Eye,oily,137.7,3.0
336,Eye Shadow #6N Brush,Eye,oily,88.7,1.8
337,Eye Shadow 10S Brush,Eye,oily,98.9,2.5
338,Eye Shadow 18S Brush,Eye,oily,37.5,3.1
339,Eyebrow Brush,Eye,sensitive,28.6,4.0
340,Eyelash 272 Brush,Eye,sensitive,142.8,1.8
341,Eyeliner #2S Brush,Eye,sensitive,45.9,2.4
342,Eyeliner 254 Brush,Eye,dry,78.0,2.0
343,Fine Eyeliner 252 Brush,Eye,sensitive,127.0,1.3
344,Precision Blender Large 236 Brush,Eye,sensitive,13.1,3.1
345,Precision Blender Medium 216 Brush,Eye,sensitive,41.8,1.5
346,Precision Crease Medium 232 Brush,Eye,oily,107.8,1.5
347,Precision Eyeliner 258 Brush,Eye,dry,15.8,3.3
348,Precision Shader Large 244 Brush,Eye,oily,106.2,2.3
349,Precision Shader Medium 228 Brush,Eye,dry,14.3,1.4
350,Precision Shader Small 208 Brush,Eye,sensitive,84.1,2.7
351,Precision Smudger Medium 212 Brush,Eye,oily,39.1,3.1
352,Precision Smudger Small 202 Brush,Eye,sensitive,92.2,1.3
353,Round Shader medium 240 Brush,Eye,oily,52.7,1.8
354,Round Shader Small 210 Brush,Eye,dry,85.5,4.2
355,Rubber Applicator Brush,Eye,dry,141.2,3.0
356,Shader Large 230 Brush,Eye,sensitive,80.1,2.8
357,Shader Medium 226 Brush,Eye,dry,43.4,2.6
358,Shader Small 220 Brush,Eye,dry,81.1,3.3
359,Silicone Applicator 224 Brush,Eye,dry,104.4,3.7
360,Smudge 14S Brush,Eye,dry,123.2,2.2
361,Smudger Medium 238 Brush,Eye,oily,113.5,2.8
362,Smudger Small 206 Brush,Eye,oily,20.2,2.2
363,Sponge Applicator 222 Brush,Eye,sensitive,81.1,2.2
364,Blending Blush 148 Brush,Face,dry,42.9,2.2
365,Blending Powder 122 Brush,Face,dry,116.9,1.7
366,Blush 160 Brush,Face,oily,78.6,2.0
367,Buffer Blush 154 Brush,Face,sensitive,123.9,0
368,Concealer Medium 176 Brush,Face,dry,98.3,4.0
369,Concealer Small 174 Brush,Face,oily,115.0,2.4
370,Double-ended Sculpting 158 Brush,Face,sensitive,141.6,0
371,Fine Corrector 170 Brush,Face,oily,139.9,0.7
372,Flat Blush 146 Brush,Face,sensitive,12.2,3.4
373,Flat Highlighter 142 Brush,Face,oily,148.0,2.8
374,Flat Round Blush 156 Brush,Face,dry,132.8,2.7
375,Foundation Kabuki Medium 110 Brush,Face,oily,149.4,3.1
376,Foundation Kabuki Small 102 Brush,Face,dry,50.3,1.6
377,Foundation Large 108 Brush,Face,oily,106.3,1.2
378,Foundation Medium 106 Brush,Face,oily,104.6,2.8
379,Foundation Small 104 Brush,Face,sensitive,16.9,3.0
380,HD 20N Brush,Face,dry,61.7,2.4
381,HD 25N Brush,Face,sensitive,140.1,2.4
382,HD 30N Brush,Face,sensitive,36.0,2.1
383,HD Blush #55N Brush,Face,oily,136.8,2.2
384,HD Kabuki Brush,Face,sensitive,60.5,4.1
385,HD Microfinish Puff Brush,Face,dry,38.0,0.9
386,Highlighter Medium 152 Brush,Face,oily,66.9,1.8
387,Highlighter Small 140 Brush,Face,dry,81.2,2.8
388,Powder Fan Large 134 Brush,Face,sensitive,130.5,1.9
389,Powder Flat Kabuki 132 Brush,Face,sensitive,19.7,2.4
390,Powder Kabuki 124 Brush,Face,oily,138.0,2.5
391,Powder Large 130 Brush,Face,dry,87.3,2.2
392,Powder Medium 126 Brush,Face,sensitive,143.5,3.0
393,Precision Blush 150 Brush,Face,sensitive,106.3,2.2
394,Precision Corrector 172 Brush,Face,sensitive,104.3,2.0
395,Precision Foundation Medium 112 Brush,Face,dry,19.9,4.9
396,Precision Foundation Small 100 Brush,Face,sensitive,85.3,1.5
397,Precision Highlighter 144 Brush,Face,sensitive,28.5,0
398,Lip #3N Brush,Lip,dry,136.0,3.1
399,Lip 300 Brush,Lip,sensitive,96.2,3.2
400,Lip with Cap 304 Brush,Lip,sensitive,48.4,2.7
401,Precision Lip 302 Brush,Lip,sensitive,148.1,2.8
402,Aqua Creamliner,Cream,sensitive,98.6,2.5
403,Aqua Liner,Liquid,oily,67.8,1.6
404,Color Liner,Liquid,oily,53.0,2.0
405,Pro Waterproof Eyeliner,Liquid,dry,98.7,3.0
406,Aqua Eyes Eyeliner,Pencil,dry,85.4,1.8
407,Eye Pencil,Pencil,dry,127.1,1.8
408,Kohl Pencil,Pencil,dry,111.5,2.7
409,Cake Eyeliner,Powder,oily,55.3,2.7
410,Aqua Cream,Cream,oily,90.6,2.1
411,Fluo Night,Loose,sensitive,27.6,2.9
412,Holodiam Powder,Loose,oily,103.5,1.2
413,Pure Pigments,Loose,oily,139.8,1.9
414,Diamond Eyeshadow,Powder,oily,78.2,1.1
415,Eyeshadow,Powder,sensitive,111.8,2.2
416,SO DIVINE,Cream,sensitive,137.2,4.0
417,Sens'eyes,Gel,oily,35.5,2.3
418,Extreme Cleanser,Makeup Remover,sensitive,100.4,2.9
419,Gentle Milk,Makeup Remover,oily,23.1,1.9
420,Pure Water,Makeup Remover,oily,91.7,3.0
421,#101 False Eyelashes,False Eyelashes,sensitive,57.1,1.5
422,#104 False Eyelashes,False Eyelashes,sensitive,36.0,3.1
423,#105 False Eyelashes,False Eyelashes,dry,35.7,3.2
424,#106 False Eyelashes,False Eyelashes,sensitive,34.8,4.5
425,#107 False Eyelashes,False Eyelashes,dry,98.7,2.3
426,#108 False Eyelashes,False Eyelashes,sensitive,115.2,2.3
427,#109 False Eyelashes,False Eyelashes,dry,41.6,2.8
428,#110 False Eyelashes,False Eyelashes,dry,78.0,1.9
429,#112 False Eyelashes,False Eyelashes,sensitive,89.2,1.6
430,#113 False Eyelashes,False Eyelashes,oily,74.3,2.4
431,#114 False Eyelashes,False Eyelashes,dry,31.2,2.4
432,#115 False Eyelashes,False Eyelashes,dry,10.2,3.0
433,#116 False Eyelashes,False Eyelashes,sensitive,65.0,2.2
434,#119 False Eyelashes,False Eyelashes,sensitive,147.2,3.0
435,#120 False Eyelashes,False Eyelashes,sensitive,57.1,2.6
436,#121 False Eyelashes,False Eyelashes,sensitive,34.4,1.8
437,#125 False Eyelashes,False Eyelashes,dry,112.6,1.4
438,#126 False Eyelashes,False Eyelashes,oily,80.5,2.1
439,#127 False Eyelashes,False Eyelashes,oily,58.5,2.4
440,#128 False Eyelashes,False Eyelashes,oily,116.5,2.2
441,#130 False Eyelashes,False Eyelashes,dry,86.3,2.6
442,#131 False Eyelashes,False Eyelashes,oily,47.9,2.1
443,#132 False Eyelashes,False Eyelashes,oily,66.6,3.0
444,#133 False Eyelashes,False Eyelashes,sensitive,144.7,1.4
445,#134 False Eyelashes,False Eyelashes,sensitive,26.2,2.6
446,#135 False Eyelashes,False Eyelashes,dry,74.5,3.9
447,#136 False Eyelashes,False Eyelashes,dry,60.5,0
448,#137 False Eyelashes,False Eyelashes,dry,21.8,0.7
449,#138 False Eyelashes,False Eyelashes,dry,91.7,2.7
